Entry,SIDC
GROUND TRACK EQUIPMENT GROUND VEHICLE TRAIN LOCOMOTIVE,S*G*EVST--
GROUND TRACK EQUIPMENT GROUND VEHICLE CIVILIAN VEHICLE,S*G*EVC---
GROUND TRACK EQUIPMENT SENSOR,S*G*ES----
GROUND TRACK EQUIPMENT SENSOR RADAR,S*G*ESR---
GROUND TRACK EQUIPMENT SENSOR EMPLACED SENSOR,S*G*ESE---
GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT,S*G*EX----
GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT LASER,S*G*EXL---
GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT CBRN EQUIPMENT,S*G*EXN---
GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT FLAME THROWER,S*G*EXF---
GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT LAND MINES,S*G*EXM---
"GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT LAND MINES LAND MINES, LETHAL",S*G*EXMC--
GROUND TRACK EQUIPMENT SPECIAL EQUIPMENT LAND MINES LESS THAN LETHAL,S*G*EXML--
GROUND TRACK,S*G*------
GROUND TRACK UNIT,S*G*U-----
GROUND TRACK UNIT COMBAT,S*G*UC----
GROUND TRACK UNIT COMBAT AIR DEFENCE,S*G*UCD---
GROUND TRACK UNIT COMBAT AIR DEFENCE SHORT RANGE,S*G*UCDS--
GROUND TRACK UNIT COMBAT AIR DEFENCE SHORT RANGE MISSILE,S*G*UCDS--
GROUND TRACK UNIT COMBAT AIR DEFENCE SHORT RANGE GUN,S*G*UCDS--
GROUND TRACK UNIT COMBAT AIR DEFENCE AIR DEFENCE MISSILE,S*G*UCDM--
GROUND TRACK UNIT COMBAT AIR DEFENCE AIR DEFENCE MISSILE AIR DEFENCE MISSILE LIGHT,S*G*UCDML-
GROUND TRACK UNIT COMBAT AIR DEFENCE AIR DEFENCE MISSILE AIR DEFENCE MISSILE LIGHT AIR DEFENCE MISSILE MOTORIZED,S*G*UCDMLA
GROUND TRACK UNIT COMBAT AIR DEFENCE AIR DEFENCE MISSILE AIR DEFENCE MISSILE MEDIUM,S*G*UCDMM-
GROUND TRACK UNIT COMBAT AIR DEFENCE AIR DEFENCE MISSILE AIR DEFENCE MISSILE HEAVY,S*G*UCDMH-
GROUND TRACK UNIT COMBAT AIR DEFENCE AIR DEFENCE MISSILE H/MAD,S*G*UCDH--
GROUND TRACK UNIT COMBAT AIR DEFENCE GUN UNIT,S*G*UCDG--
GROUND TRACK UNIT COMBAT AIR DEFENCE COMPOSITE,S*G*UCDC--
GROUND TRACK UNIT COMBAT AIR DEFENCE TARGETING UNIT,S*G*UCDT--
GROUND TRACK UNIT COMBAT AIR DEFENCE THEATRE MISSILE DEFENCE UNIT,S*G*UCDO--
GROUND TRACK UNIT COMBAT ARMOUR,S*G*UCA---
GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK,S*G*UCAT--
GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK AIRBORNE,S*G*UCATA-
GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK AMPHIBIOUS,S*G*UCATW-
GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK AMPHIBIOUS ARMOUR TRACK AMPHIBIOUS RECOVERY,S*G*UCATWR
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK, LIGHT",S*G*UCATL-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK, MEDIUM",S*G*UCATM-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK, HEAVY",S*G*UCATH-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR TRACK ARMOUR TRACK, RECOVERY",S*G*UCATR-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED",S*G*UCAW--
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED AIR ASSAULT",S*G*UCAWS-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED AIRBORNE",S*G*UCAWA-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED AMPHIBIOUS",S*G*UCAWA-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED LIGHT",S*G*UCAWL-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED MEDIUM",S*G*UCAWM-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED HEAVY",S*G*UCAWH-
"GROUND TRACK UNIT COMBAT ARMOUR ARMOUR, WHEELED ARMOUR, WHEELED RECOVERY",S*G*UCAWR-
GROUND TRACK UNIT COMBAT ANTI ARMOUR,S*G*UCAA--
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR DISMOUNTED,S*G*UCAAD-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR LIGHT,S*G*UCAAL-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR AIRBORNE,S*G*UCAAM-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR AIR ASSAULT,S*G*UCAAS-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR MOUNTAIN,S*G*UCAAU-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR ARCTIC,S*G*UCAAC-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR ARMOURED,S*G*UCAAA-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR ARMOURED ANTI ARMOUR ARMOURED TRACKED,S*G*UCAAAT
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR ARMOURED ANTI ARMOUR ARMOURED WHEELED,S*G*UCAAAW
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR ARMOURED ANTI ARMOUR ARMOURED AIR ASSAULT,S*G*UCAAAS
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR MOTORIZED,S*G*UCAAO-
GROUND TRACK UNIT COMBAT ANTI ARMOUR ANTI ARMOUR MOTORIZED ANTI ARMOUR MOTORIZED AIR ASSAULT,S*G*UCAAOS
GROUND TRACK UNIT COMBAT AVIATION,S*G*UCV---
GROUND TRACK UNIT COMBAT AVIATION FIXED WING,S*G*UCVF--
GROUND TRACK UNIT COMBAT AVIATION FIXED WING UTILITY FIXED WING,S*G*UCVFU-
GROUND TRACK UNIT COMBAT AVIATION FIXED WING ATTACK FIXED WING,S*G*UCVFA-
GROUND TRACK UNIT COMBAT AVIATION FIXED WING ATTACK FIXED WING TACTICAL AIR CONTROL PARTY (TACP),S*G*UCVUTP
GROUND TRACK UNIT COMBAT AVIATION FIXED WING ATTACK FIXED WING FORWARD AIR CONTROLLER (FAC),S*G*UCVUFC
GROUND TRACK UNIT COMBAT AVIATION FIXED WING RECON FIXED WING,S*G*UCVFR-
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING,S*G*UCVR--
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING ATTACK ROTARY WING,S*G*UCVRA-
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING SCOUT ROTARY WING,S*G*UCVRS-
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING ANTISUBMARINE WARFARE ROTARY WING,S*G*UCVRW-
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING UTILITY ROTARY WING,S*G*UCVRU-
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING UTILITY ROTARY WING LIGHT UTILITY ROTARY WING,S*G*UCVRUL
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING UTILITY ROTARY WING MEDIUM UTILITY ROTARY WING,S*G*UCVRUM
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING UTILITY ROTARY WING HEAVY UTILITY ROTARY WING,S*G*UCVRUH
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING C2 ROTARY WING,S*G*UCVRUC
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING MEDEVAC ROTARY WING,S*G*UCVRUE
GROUND TRACK UNIT COMBAT AVIATION ROTARY WING MINE COUNTERMEASURE ROTARY WING,S*G*UCVRM-
GROUND TRACK UNIT COMBAT AVIATION PERSONNEL RECOVERY,S*G*UCVS--
GROUND TRACK UNIT COMBAT AVIATION COMPOSITE,S*G*UCVC--
GROUND TRACK UNIT COMBAT AVIATION VERTICAL/SHORT TAKEOFF AND LANDING (V/STOL),S*G*UCVV--
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE,S*G*UCVU--
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE UNMANNED AERIAL VEHICLE FIXED WING,S*G*UCVUF-
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE UNMANNED AERIAL VEHICLE FIXED WING AVIATION UAV CONTROL,S*G*UCVU--
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE UNMANNED AERIAL VEHICLE FIXED WING AVIATION UAV LAUNCHER,S*G*UCVU--
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE UNMANNED AERIAL VEHICLE FIXED WING AVIATION UAV RECOVERY,S*G*UCVU--
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE UNMANNED AERIAL VEHICLE ROTARY WING,S*G*UCVUR-
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE TACTICAL AIR CONTROL PARTY (TACP),S*G*UCVUTP
GROUND TRACK UNIT COMBAT AVIATION UNMANNED AERIAL VEHICLE FORWARD AIR CONTROLLER (FAC),S*G*UCVUFC
GROUND TRACK UNIT COMBAT INFANTRY,S*G*UCI---
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY LIGHT,S*G*UCIL--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY MOTORIZED,S*G*UCIM--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY MOUNTAIN,S*G*UCIO--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY AIRBORNE,S*G*UCIA--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY AIR ASSAULT,S*G*UCIS--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY MECHANIZED,S*G*UCIZ--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY NAVAL,S*G*UCIN--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY FIGHTING VEHICLE,S*G*UCII--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY ARCTIC,S*G*UCIC--
GROUND TRACK UNIT COMBAT INFANTRY INFANTRY SNIPER,S*G*UCIC--
GROUND TRACK UNIT COMBAT ENGINEER,S*G*UCE---
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT,S*G*UCEC--
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT AIR ASSAULT,S*G*UCECS-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT AIRBORNE,S*G*UCECA-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT ARCTIC,S*G*UCECC-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT LIGHT,S*G*UCECL-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT MEDIUM,S*G*UCECM-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT HEAVY,S*G*UCECH-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT MECHANIZED (TRACK),S*G*UCECT-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT MOTORIZED,S*G*UCECW-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT MOUNTAIN,S*G*UCECO-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT RECON,S*G*UCECR-
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT BRIDGING,S*G*UCEC--
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT MINE CLEARING,S*G*UCEC--
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT MINE LAYING,S*G*UCEC--
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER COMBAT ENGINEER COMBAT DIVING,S*G*UCEC--
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER CONSTRUCTION,S*G*UCEN--
GROUND TRACK UNIT COMBAT ENGINEER ENGINEER CONSTRUCTION ENGINEER NAVAL CONSTRUCTION,S*G*UCENN-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY,S*G*UCF---
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN,S*G*UCFH--
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN SELF PROPELLED,S*G*UCFHE-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN AIR ASSAULT,S*G*UCFHS-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN AIRBORNE,S*G*UCFHA-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN ARCTIC,S*G*UCFHC-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN MOUNTAIN,S*G*UCFHO-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN LIGHT,S*G*UCFHL-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN MEDIUM,S*G*UCFHM-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN HEAVY,S*G*UCFHH-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY HOWITZER/GUN AMPHIBIOUS,S*G*UCFHX-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET,S*G*UCFR--
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET SINGLE ROCKET LAUNCHER,S*G*UCFRS-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET SINGLE ROCKET LAUNCHER SINGLE ROCKET SELF PROPELLED,S*G*UCFRSS
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET SINGLE ROCKET LAUNCHER SINGLE ROCKET TRUCK,S*G*UCFRSR
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET SINGLE ROCKET LAUNCHER SINGLE ROCKET TOWED,S*G*UCFRST
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET MULTI ROCKET LAUNCHER,S*G*UCFRM-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET MULTI ROCKET LAUNCHER MULTI ROCKET SELF PROPELLED,S*G*UCFRMS
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET MULTI ROCKET LAUNCHER MULTI ROCKET TRUCK,S*G*UCFRMR
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ROCKET MULTI ROCKET LAUNCHER MULTI ROCKET TOWED,S*G*UCFRMT
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION,S*G*UCFT--
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION RADAR,S*G*UCFTR-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION SOUND,S*G*UCFTS-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION FLASH (OPTICAL),S*G*UCFTF-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION TARGET ACQUISITION MOUNTED,S*G*UCFTC-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION TARGET ACQUISITION MOUNTED TARGET ACQUISITION DISMOUNTED,S*G*UCFTCD
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION TARGET ACQUISITION MOUNTED TARGET ACQUISITION TRACKED,S*G*UCFTCM
GROUND TRACK UNIT COMBAT FIELD ARTILLERY TARGET ACQUISITION TARGET ACQUISITION NAVAL GUNFIRE,S*G*UCFTA-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR,S*G*UCFM--
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR SELF PROPELLED (SP) TRACKED MORTAR,S*G*UCFMS-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR SP WHEELED MORTAR,S*G*UCFMSW
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR TOWED MORTAR,S*G*UCFMT-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR TOWED MORTAR TOWED AIRBORNE MORTAR,S*G*UCFMTA
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR TOWED MORTAR TOWED AIR ASSAULT MORTAR,S*G*UCFMTS
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR TOWED MORTAR TOWED ARCTIC MORTAR,S*G*UCFMTC
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR TOWED MORTAR TOWED MOUNTAIN MORTAR,S*G*UCFMTO
GROUND TRACK UNIT COMBAT FIELD ARTILLERY MORTAR AMPHIBIOUS MORTAR,S*G*UCFML-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ARTILLERY SURVEY,S*G*UCFS--
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ARTILLERY SURVEY AIR ASSAULT,S*G*UCFSS-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ARTILLERY SURVEY AIRBORNE,S*G*UCFSA-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ARTILLERY SURVEY LIGHT,S*G*UCFSL-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY ARTILLERY SURVEY MOUNTAIN,S*G*UCFSO-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY METEOROLOGICAL,S*G*UCFO--
GROUND TRACK UNIT COMBAT FIELD ARTILLERY METEOROLOGICAL AIR ASSAULT METEOROLOGICAL,S*G*UCFOS-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY METEOROLOGICAL AIRBORNE METEOROLOGICAL,S*G*UCFOA-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY METEOROLOGICAL LIGHT METEOROLOGICAL,S*G*UCFOL-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY METEOROLOGICAL MOUNTAIN METEOROLOGICAL,S*G*UCFOO-
GROUND TRACK UNIT COMBAT FIELD ARTILLERY FIRE DIRECTION CENTRE,S*G*UCF---
GROUND TRACK UNIT COMBAT FIELD ARTILLERY OBERSERVER,S*G*UCF---
GROUND TRACK UNIT COMBAT RECONNAISSANCE,S*G*UCR---
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE HORSE,S*G*UCRH--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE CAVALRY,S*G*UCRV--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE CAVALRY RECONNAISSANCE CAVALRY ARMOURED,S*G*UCRVA-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE CAVALRY RECONNAISSANCE CAVALRY MOTORIZED,S*G*UCRVM-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE CAVALRY RECONNAISSANCE CAVALRY GROUND,S*G*UCRVG-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE CAVALRY RECONNAISSANCE CAVALRY AIR,S*G*UCRVO-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE ARCTIC,S*G*UCRC--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE AIR ASSAULT,S*G*UCRS--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE AIRBORNE,S*G*UCRA--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE MOUNTAIN,S*G*UCRO--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE LIGHT,S*G*UCRLL--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE MARINE,S*G*UCRR--
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE MARINE RECONNAISSANCE MARINE DIVISION,S*G*UCRRD-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE MARINE RECONNAISSANCE MARINE FORCE,S*G*UCRRF-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE MARINE RECONNAISSANCE MARINE LIGHT ARMOURED RECONNAISSANCE (LAR),S*G*UCRRL-
GROUND TRACK UNIT COMBAT RECONNAISSANCE RECONNAISSANCE LONG RANGE SURVEILLANCE (LRS),S*G*UCRX--
GROUND TRACK UNIT COMBAT MISSILE (SURFACE-SURFACE),S*G*UCM---
GROUND TRACK UNIT COMBAT MISSILE (SURFACE-SURFACE) MISSILE (SURFACE-SURFACE) TACTICAL,S*G*UCMT--
GROUND TRACK UNIT COMBAT MISSILE (SURFACE-SURFACE) MISSILE (SURFACE-SURFACE) STRATEGIC,S*G*UCMS--
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES,S*G*UCS---
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES RIVERINE,S*G*UCSW--
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES GROUND,S*G*UCSG--
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES GROUND DISMOUNTED GROUND,S*G*UCSGD-
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES GROUND MOTORIZED GROUND,S*G*UCSGM-
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES GROUND MECHANIZED GROUND,S*G*UCSGA-
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES WHEELED MECHANIZED,S*G*UCSM--
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES RAILROAD,S*G*UCSR--
GROUND TRACK UNIT COMBAT INTERNAL SECURITY FORCES AVIATION,S*G*UCSA--
GROUND TRACK UNIT COMBAT SUPPORT,S*G*UU----
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN,S*G*UUA---
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL,S*G*UUAC--
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL SMOKE/DECON,S*G*UUACC-
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL SMOKE/DECON MECHANIZED SMOKE/DECON,S*G*UUACCK
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL SMOKE/DECON MOTORIZED SMOKE/DECON,S*G*UUACCM
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL SMOKE,S*G*UUACS-
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL SMOKE MOTORIZED SMOKE,S*G*UUACSM
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL SMOKE ARMOUR SMOKE,S*G*UUACSA
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL CHEMICAL RECON,S*G*UUACR-
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL CHEMICAL RECON CHEMICAL WHEELED ARMOURED VEHICLE,S*G*UUACRW
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN CHEMICAL CHEMICAL RECON CHEMICAL WHEELED ARMOURED VEHICLE RECONNAISSANCE SURVEILLANCE,S*G*UUACRS
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN NUCLEAR,S*G*UUAN--
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN BIOLOGICAL,S*G*UUAB--
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN BIOLOGICAL RECON EQUIPPED,S*G*UUABR-
GROUND TRACK UNIT COMBAT SUPPORT COMBAT SUPPORT CBRN DECONTAMINATION,S*G*UUAD--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE,S*G*UUM---
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE AERIAL EXPLOITATION,S*G*UUMA--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT),S*G*UUMS--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE,S*G*UUMSE-
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE ARMOURED WHEELED VEHICLE,S*G*UUMSEA
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE DIRECTION FINDING,S*G*UUMSED
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE INTERCEPT,S*G*UUMSEI
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE JAMMING,S*G*UUMSEJ
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE THEATRE,S*G*UUMSET
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SIGNAL INTELLIGENCE (SIGINT) ELECTRONIC WARFARE CORPS,S*G*UUMSEC
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE COUNTER INTELLIGENCE,S*G*UUMC--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SURVEILLANCE,S*G*UUMR--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SURVEILLANCE GROUND SURVEILLANCE RADAR,S*G*UUMRG-
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SURVEILLANCE SENSOR,S*G*UUMRS-
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SURVEILLANCE SENSOR SENSOR SCM,S*G*UUMRSS
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SURVEILLANCE GROUND STATION MODULE,S*G*UUMRX-
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE SURVEILLANCE METEOROLOGICAL,S*G*UUMMO-
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE OPERATIONS,S*G*UUMO--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE TACTICAL EXPLOIT,S*G*UUMT--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE INTERROGATION,S*G*UUMQ--
GROUND TRACK UNIT COMBAT SUPPORT MILITARY INTELLIGENCE JOINT INTELLIGENCE CENTRE,S*G*UUMJ--
GROUND TRACK UNIT COMBAT SUPPORT LAW ENFORCEMENT UNIT,S*G*UUL---
