Entry,SIDC
SUBSURFACE TRACK NON-SUBMARINE BOTTOM RETURN/NOMBO SEABED INSTALLATION/MANMADE,S*U*NBS---
"SUBSURFACE TRACK NON-SUBMARINE BOTTOM RETURN/NOMBO SEABED ROCK/STONE, OBSTACLE, OTHER",S*U*NBR---
SUBSURFACE TRACK NON-SUBMARINE BOTTOM RETURN/NOMBO WRECK,S*U*NBW---
SUBSURFACE TRACK NON-SUBMARINE MARINE LIFE,S*U*NM----
SUBSURFACE TRACK NON-SUBMARINE SEA ANOMALY,S*U*NA----
SEA SURFACE TRACK,S*S*------
SEA SURFACE TRACK COMBATANT,S*S*C-----
SEA SURFACE TRACK COMBATANT LINE,S*S*CL----
SEA SURFACE TRACK COMBATANT LINE CARRIER,S*S*CLCV--
SEA SURFACE TRACK COMBATANT LINE BATTLESHIP,S*S*CLBB--
SEA SURFACE TRACK COMBATANT LINE CRUISER,S*S*CLCC--
SEA SURFACE TRACK COMBATANT LINE DESTROYER,S*S*CLDD--
SEA SURFACE TRACK COMBATANT LINE FRIGATE/CORVETTE,S*S*CLFF--
SEA SURFACE TRACK COMBATANT AMPHIBIOUS WARFARE SHIP,S*S*CA----
SEA SURFACE TRACK COMBATANT AMPHIBIOUS WARFARE SHIP ASSAULT VESSEL,S*S*CALA--
SEA SURFACE TRACK COMBATANT AMPHIBIOUS WARFARE SHIP LANDING SHIP,S*S*CALS--
SEA SURFACE TRACK COMBATANT AMPHIBIOUS WARFARE SHIP LANDING CRAFT,S*S*CALC--
SEA SURFACE TRACK COMBATANT MINE WARFARE VESSEL,S*S*CM----
SEA SURFACE TRACK COMBATANT MINE WARFARE VESSEL MINELAYER,S*S*CMML--
SEA SURFACE TRACK COMBATANT MINE WARFARE VESSEL MINESWEEPER,S*S*CMMS--
SEA SURFACE TRACK COMBATANT MINE WARFARE VESSEL MINEHUNTER,S*S*CMMH--
SEA SURFACE TRACK COMBATANT MINE WARFARE VESSEL MCM SUPPORT,S*S*CMMA--
SEA SURFACE TRACK COMBATANT MINE WARFARE VESSEL MCM DRONE,S*S*CMMD--
SEA SURFACE TRACK COMBATANT PATROL,S*S*CP----
SEA SURFACE TRACK COMBATANT PATROL ANTI SUBMARINE WARFARE,S*S*CPSB--
